region_code,region_name,latitude,longitude
309031235,Arundel,-27.9360655,153.3653514
309091263,Ashmore,-27.9909266,153.3770522
309101267,Benowa,-28.0041744,153.3834595
309031236,Biggera Waters,-27.9271595,153.3983923
309011224,Broadbeach Waters,-28.027218,153.4168032
309101268,Bundall,-28.0112822,153.4080912
309011225,Burleigh Heads,-28.1021343,153.4395799
309011226,Burleigh Waters,-28.0848122,153.4353217
309061246,Carrara,-28.02077,153.3683962
309081259,Clear Island Waters,-28.042512,153.3974897
309021230,Coolangatta,-28.0161891,153.3461424
309031237,Coombabah,-27.9058415,153.3722586
309071251,Coomera,-27.8658158,153.319498
309021231,Currumbin - Tugun,-28.1361573,153.4879325
309051243,Currumbin Valley - Tallebudgera,-28.1232042,153.444629
309021232,Currumbin Waters,-28.1500029,153.4635991
309021233,Elanora,-28.126998,153.4591428
309041241,Guanaba - Springbrook,-27.9364596,153.26292
309071252,Helensvale,-27.9053051,153.3324585
309061247,Highland Park,-28.011487,153.3249552
309071253,Hope Island,-27.8799656,153.3308421
309071254,Jacobs Well - Alberton,-27.7775,153.3614
309031238,Labrador,-27.9427642,153.3987125
309101269,Main Beach,-27.9787768,153.4271228
309011227,Mermaid Beach - Broadbeach,-28.0367569,153.4332442
309011228,Mermaid Waters,-28.052458,153.4218922
309081260,Merrimac,-28.0514674,153.3739972
309011229,Miami,-28.069175,153.4350824
309091264,Molendinar,-27.9745778,153.3754344
309051244,Mudgeeraba - Bonogin,-28.1128042,153.3442791
309061248,Nerang - Mount Nathan,-27.9685757,153.2981312
309071552,Ormeau (East) - Stapylton,-27.7667,153.3200
309071553,Ormeau (West) - Yatala,-27.7833,153.2833
309071256,Oxenford - Maudsland,-27.9015337,153.2997577
309061249,Pacific Pines - Gaven,-27.9382489,153.3092643
309021234,Palm Beach,-28.1155325,153.4583936
309031239,Paradise Point - Hollywell,-27.8884125,153.3904653
309091265,Parkwood,-27.9511525,153.3610577
309071554,Pimpama - North,-28.0621762,153.4408444
309071555,Pimpama - South,-27.8357175,153.4192648
309051245,Reedy Creek - Andrews,-28.1101315,153.395716
309081559,Robina - East,-28.0705635,153.3916396
309081560,Robina - West,-28.0705635,153.3916396
309031240,Runaway Bay,-27.9122419,153.4029513
309091540,Southport - North,-27.9687807,153.4066696
309091541,Southport - South,-27.9726967,153.4156233
309101561,Surfers Paradise - North,-27.992619,153.4292567
309101562,Surfers Paradise - South,-27.9989899,153.42398
309041242,Tamborine - Canungra,-27.8901627,153.3068987
309071556,Upper Coomera (South) - Wongawallan,-27.8945814,153.2771765
309071557,Upper Coomera - North,-27.8945814,153.2771765
309081262,Varsity Lakes,-28.0971316,153.3992325
309071558,Willow Vale - Pimpama (West),-27.8200,153.2900
309061250,Worongary - Tallai,-28.0531757,153.3280147
